accession,title,organism,samples,public_evidence,practical_files,priority,role_in_expansion,notes
GSE278320,Distinct modes of non-canonical initiation regulate selective host versus viral mRNA translation during poxvirus-induced shutoff,Homo sapiens,38,PMID 40437296; DOI 10.1038/s41564-025-02009-4,Per-sample gene count files in GEO supplementary RAW tar and sample FTP,HIGH,Primary anchor dataset for host DHX/eIF/RACK1 secondary analysis,Already analyzed by Park et al.; do not claim primary discovery
GSE185520,Vaccinia virus D10 has broad decapping activity that is regulated by mRNA splicing,Homo sapiens,30,PMID 35202449; DOI 10.1371/journal.ppat.1010099,Multiple supplementary XLSX contrast/result files,HIGH,Independent human Vaccinia host-shutoff dataset for DHX/translation-factor validation,Good orthogonal host-shutoff comparison but not raw count-simple
GSE288000,Poxvirus attack of anti-viral defense pathways unleashes an effector-triggered NF-kB response [RNAseq_2],Homo sapiens,30,GEO public record,raw_feature_counts2.txt.gz,HIGH,Myxoma/poxvirus host RNA-seq matrix for cross-virus validation,Direct count matrix; strong candidate for next pipeline module
GSE287860,Poxvirus attack of anti-viral defense pathways unleashes an effector-triggered NF-kB response,Homo sapiens,6,GEO public record,raw_feature_counts.txt.gz,HIGH,Compact Myxoma/poxvirus host RNA-seq validation set,Direct count matrix; useful fast pilot
GSE288433,Poxvirus attack of anti-viral defense pathways unleashes an effector-triggered NF-kB response [RNAseq_MYXV_screen],Homo sapiens,19,GEO public record,screen_raw_reads.txt.gz plus barcode/sample map,MEDIUM,Screen-style MYXV dataset for perturbation-linked context,Requires careful decoding of screen design before DGE
GSE284044,MeRIP-seq study of Vaccinia virus-infected Vero cell,Chlorocebus sabaeus,24,PMID 41965674; DOI 10.1186/s12985-026-03160-y,featurecounts plus DESeq2 and exomePeak files,HIGH,Vaccinia time-course RNA-seq and m6A context for host translation-factor persistence,Non-human primate ortholog mapping needed for direct DHX symbol comparison
GSE137757,Induction of an alternative 5' leader enhances translation of Inpp5e and resistance to oncolytic virus infection,Mus musculus,16,PMID 31851930; DOI 10.1016/j.celrep.2019.11.072,RPKM normalized total RNA/RPF/TE XLSX,MEDIUM,Translation-efficiency comparison point for oncolytic virus resistance,Mouse ortholog mapping and normalized-only caveats
GSE228963,Evaluating levels of Vaccinia viral mRNA translation,Orthopoxvirus vaccinia,6,GEO public record,stringtie viral TPM table,MEDIUM,Viral-side translation context for leader/viral mRNA analysis,Not host expression; useful for viral transcript side only
GSE329296,MURV-seq reveals genome-wide diversity of 5-prime termini and leader sequences across poxvirus transcripts,Homo sapiens,12,GEO public record; public 2026 dataset,Small RAW tar with wide text files,HIGH,Very recent poxvirus 5-prime leader dataset for structured-leader/DHX29 hypothesis generation,Potentially highest novelty but requires sequence/leader-specific methods
GSE228918,Transcriptome dynamics of mutualistic poxvirus infection of tropical fruit fly hosts,Insect hosts,81,GEO public record,Series-level transcriptome data,LOW,Pan-poxvirus evolutionary comparator,Less directly relevant to human DHX29 and translation initiation
PRJEB26434,Dynamic transcriptome profiling dataset of vaccinia virus obtained from long-read sequencing techniques (GigaScience 2018),Vaccinia virus / CV-1,several,PMID 30476066; PMC6290886; ENA PRJEB26434,Long-read PacBio/nanopore/direct-RNA reads,LOW,Viral transcriptome temporal/kinetics CONTEXT only (mentor-flagged),Viral-side and isoform-focused long-read; not a host count matrix; use for temporal viral-program framing
PMC8398953,Time-Course Transcriptome Profiling of a Poxvirus Using Long-Read Full-Length Assay (Pathogens 2021),Vaccinia virus,time course,PMID 34451383; PMC8398953; ENA PRJEB26434 + PRJEB26430,Long-read full-length viral subreads/direct-RNA (fastq),LOW,Viral kinetic-class temporal CONTEXT only (mentor-flagged),Characterizes viral kinetic gene classes/TSS-TES; viral-side not host-side; raw long-read not DGE-comparable
PMC4468498,Deciphering Poxvirus Gene Expression by RNA Sequencing and Ribosome Profiling (Yang & Moss J Virol 2015),Homo sapiens / HeLa,time course (2/4/8 h),PMID 25903347; PMC4468498; DOI 10.1128/JVI.00528-15; BioProject PRJNA280609 / SRA SRP056975,3 RNA-seq + 12 ribosome-profiling raw FASTQ (no GEO processed matrix); pipeline vendored at data/external/yang_moss_2015/,HIGH,Host translation-over-time EXPANSION TARGET (mentor-flagged); pipeline READY pending network,Run quantify_SRP056975.sh on a network machine; verify mock-vs-infected from ENA sample titles before adding the contrast to the meta-analysis
PRJ-MATIA-2024,Spatio-temporal analysis of Vaccinia virus infection and host response dynamics using single-cell transcriptomics and proteomics (bioRxiv 2024),Homo sapiens / HeLa + BJ5ta,scRNA-seq + proteomics time course,bioRxiv 2024.01.13.575413; scRNA-seq GEO accession to confirm,Single-cell metadata + HeLa proteomics vendored in data/external/matia2024/,HIGH,INTEGRATED as external validation (cross-cell-type host shutoff + cross-modality protein concordance) via scripts/24,Supplementary tables used directly; raw scRNA-seq count matrices (GEO) would enable full pseudobulk meta-analysis join
